allele_name,pipeline_names,similar_names
IGHV1-VCNV*12, IGHV1-VCNV*12, 
IGHV1-Y7SR*01, IGHV1-Y7SR*01, 
IGHV1-Y7SR*02, IGHV1-Y7SR*02, 
IGHV1-Y7SR*03, IGHV1-Y7SR*03, 
IGHV1-Y7SR*05, IGHV1-Y7SR*05, 
IGHV10-LLQ3*02, IGHV10-LLQ3*02, 
IGHV10-LLQ3*03, IGHV10-LLQ3*03, 
IGHV11-2KKU*01, IGHV11-2KKU*01, 
IGHV2-3D4X*03, IGHV2-3D4X*03, 
IGHV2-3D4X*05, IGHV2-3D4X*05, 
IGHV2-3D4X*10, IGHV2-3D4X*10, 
IGHV2-3D4X*13, IGHV2-3D4X*13, 
IGHV2-4QUM*17, IGHV2-4QUM*17, 
IGHV2-4QUM*19, IGHV2-4QUM*19, 
IGHV2-4QUM*20, IGHV2-4QUM*20, 
IGHV2-4QUM*21, IGHV2-4QUM*21, 
IGHV2-4QUM*23, IGHV2-4QUM*23, 
IGHV2-4QUM*24, IGHV2-4QUM*24, 
IGHV2-4QUM*25, IGHV2-4QUM*25, 
IGHV2-4QUM*26, IGHV2-4QUM*26, 
IGHV2-4QUM*27, IGHV2-4QUM*27, 
IGHV2-5KIN*01, IGHV2-5KIN*01, 
IGHV2-5KIN*02, IGHV2-5KIN*02, 
IGHV2-5KIN*06, IGHV2-5KIN*06, 
IGHV2-5KIN*07, IGHV2-5KIN*07, 
IGHV2-5VX5*01, IGHV2-5VX5*01, 
IGHV2-5VX5*02, IGHV2-5VX5*02, 
IGHV2-5VX5*03, IGHV2-5VX5*03, 
IGHV2-5VX5*04, IGHV2-5VX5*04, 
IGHV2-5VX5*05, IGHV2-5VX5*05, 
IGHV2-5VX5*06, IGHV2-5VX5*06, 
IGHV2-5VX5*10, IGHV2-5VX5*10, 
IGHV2-5VX5*11, IGHV2-5VX5*11, 
IGHV2-5VX5*13, IGHV2-5VX5*13, 
IGHV2-5VX5*19, IGHV2-5VX5*19, 
IGHV2-5VX5*20, IGHV2-5VX5*20, 
IGHV2-73MP*01, IGHV2-73MP*01, 
IGHV2-73MP*02, IGHV2-73MP*02, 
IGHV2-73MP*03, IGHV2-73MP*03, 
IGHV2-D2TO*01, IGHV2-D2TO*01, 
IGHV2-V7ET*01, IGHV2-V7ET*01, 
IGHV2-V7ET*06, IGHV2-V7ET*06, 
IGHV2-V7ET*07, IGHV2-V7ET*07, 
IGHV2-X7EJ*01, IGHV2-X7EJ*01, 
IGHV3-37F2*01, IGHV3-37F2*01, 
IGHV3-37F2*02, IGHV3-37F2*02, 
IGHV3-37F2*05, IGHV3-37F2*05, 
IGHV3-37F2*08, IGHV3-37F2*08, 
IGHV3-4PJH*02, IGHV3-4PJH*02, 
IGHV3-4PJH*03, IGHV3-4PJH*03, 
IGHV3-4PJH*07, IGHV3-4PJH*07, 
IGHV3-4PJH*10, IGHV3-4PJH*10, 
IGHV3-4PJH*13, IGHV3-4PJH*13, 
IGHV3-4PJH*15, IGHV3-4PJH*15, 
IGHV3-4PJH*18, IGHV3-4PJH*18, 
IGHV3-4PJH*20, IGHV3-4PJH*20, 
IGHV3-4PJH*22, IGHV3-4PJH*22, 
IGHV3-4PJH*23, IGHV3-4PJH*23, 
IGHV3-4PJH*29, IGHV3-4PJH*29, 
IGHV3-4PJH*32, IGHV3-4PJH*32, 
IGHV3-4PJH*33, IGHV3-4PJH*33, 
IGHV3-4PJH*34, IGHV3-4PJH*34, 
IGHV3-4RPY*01, IGHV3-4RPY*01, 
IGHV3-4RPY*03, IGHV3-4RPY*03, 
IGHV3-756H*06, IGHV3-756H*06, 
IGHV3-756H*08, IGHV3-756H*08, 
IGHV3-7FPK*01, IGHV3-7FPK*01, 
IGHV3-7FPK*02, IGHV3-7FPK*02, 
IGHV3-7FPK*04, IGHV3-7FPK*04, 
IGHV3-7FPK*07, IGHV3-7FPK*07, 
IGHV3-7HCW*03, IGHV3-7HCW*03, 
IGHV3-A7N6*01, IGHV3-A7N6*01, 
IGHV3-A7N6*03, IGHV3-A7N6*03, 
IGHV3-A7N6*05, IGHV3-A7N6*05, 
IGHV3-A7N6*09, IGHV3-A7N6*09, 
IGHV3-B5E7*03, IGHV3-B5E7*03, 
IGHV3-B5E7*04, IGHV3-B5E7*04, 
IGHV3-B5E7*05, IGHV3-B5E7*05, 
IGHV3-B5E7*06, IGHV3-B5E7*06, 
IGHV3-B5E7*07, IGHV3-B5E7*07, 
IGHV3-BKKC*02, IGHV3-BKKC*02, 
IGHV3-BKKC*03, IGHV3-BKKC*03, 
IGHV3-BKKC*06, IGHV3-BKKC*06, 
IGHV3-BKKC*09, IGHV3-BKKC*09, 
IGHV3-BKKC*10, IGHV3-BKKC*10, 
IGHV3-BKKC*12, IGHV3-BKKC*12, 
IGHV3-BKKC*13, IGHV3-BKKC*13, 
IGHV3-BKKC*14, IGHV3-BKKC*14, 
IGHV3-BZMP*01, IGHV3-BZMP*01, 
IGHV3-BZMP*02, IGHV3-BZMP*02, 
IGHV3-BZMP*06, IGHV3-BZMP*06, 
IGHV3-BZMP*07, IGHV3-BZMP*07, 
IGHV3-BZMP*10, IGHV3-BZMP*10, 
IGHV3-C4HU*03, IGHV3-C4HU*03, 
IGHV3-C4HU*06, IGHV3-C4HU*06, 
IGHV3-C4HU*07, IGHV3-C4HU*07, 
IGHV3-C4HU*09, IGHV3-C4HU*09, 
IGHV3-C4HU*11, IGHV3-C4HU*11, 
IGHV3-CJQ7*02, IGHV3-CJQ7*02, 
IGHV3-CJQ7*06, IGHV3-CJQ7*06, 
IGHV3-CJQ7*07, IGHV3-CJQ7*07, 
IGHV3-CJQ7*08, IGHV3-CJQ7*08, 
IGHV3-DCTO*02, IGHV3-DCTO*02, 
IGHV3-DCTO*03, IGHV3-DCTO*03, 
IGHV3-DCTO*05, IGHV3-DCTO*05, 
IGHV3-DCTO*07, IGHV3-DCTO*07, 
IGHV3-DCTO*08, IGHV3-DCTO*08, 
IGHV3-DY3H*01, IGHV3-DY3H*01, 
IGHV3-DY3H*02, IGHV3-DY3H*02, 
IGHV3-DY3H*03, IGHV3-DY3H*03, 
IGHV3-DY3H*05, IGHV3-DY3H*05, 
IGHV3-DY3H*09, IGHV3-DY3H*09, 
IGHV3-DY3H*10, IGHV3-DY3H*10, 
IGHV3-GYPG*01, IGHV3-GYPG*01, 
IGHV3-GYPG*10, IGHV3-GYPG*10, 
IGHV3-GYPG*11, IGHV3-GYPG*11, 
IGHV3-GYPG*12, IGHV3-GYPG*12, 
IGHV3-GYPG*16, IGHV3-GYPG*16, 
IGHV3-GYPG*19, IGHV3-GYPG*19, 
IGHV3-GYPG*20, IGHV3-GYPG*20, 
IGHV3-GYPG*21, IGHV3-GYPG*21, 
IGHV3-GYPG*22, IGHV3-GYPG*22, 
IGHV3-GYPG*23, IGHV3-GYPG*23, 
IGHV3-GYPG*26, IGHV3-GYPG*26, 
IGHV3-HFYN*01, IGHV3-HFYN*01, 
IGHV3-HFYN*03, IGHV3-HFYN*03, 
IGHV3-HFYN*04, IGHV3-HFYN*04, 
IGHV3-HFYN*06, IGHV3-HFYN*06, 
IGHV3-HFYN*11, IGHV3-HFYN*11, 
IGHV3-HFYN*12, IGHV3-HFYN*12, 
IGHV3-HFYN*15, IGHV3-HFYN*15, 
IGHV3-I3JG*01, IGHV3-I3JG*01, 
IGHV3-JRTS*02, IGHV3-JRTS*02, 
IGHV3-JRTS*06, IGHV3-JRTS*06, 
IGHV3-JRTS*07, IGHV3-JRTS*07, 
IGHV3-JU2I*01, IGHV3-JU2I*01, 
